,Round,Day,Date,Time,Venue,Result,GF,GA,Opponent,Attendance,Captain,Formation,Referee,event_id,Manager,League Position ,squadnumber,team_name,player_name,player_id,rating,minutes_played,shotstotal,shotson,offsides,gconceded,gassists,gtotal,ptotal,pkey,paccuracy,ttotal,tblocks,tinterc,dtotal,dwon,dattempts,dsuccess,dpast,fdrawn,fcommit,red,yellow,penaltysuccess,Game,Player Position
0,Matchweek 2,Sat,10/08/2019,15:00 (00:00),Away,D,1,1,Ipswich Town,"24,051",Aiden McGeady,4_3_3,Neil Hair,167939,JR,14,5,Sunderland,Alim Ozturk,19896.00,6.80,10.00,0.00,0.00,,0.00,0.00,0.00,4.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ipswich Town 10/08/2019,DF
1,Matchweek 3,Sat,17/08/2019,12:30 (21:30),Home,W,2,1,Portsmouth,"29,140",Grant Leadbitter,4_2_3_1,Michael Salisbury,167955,JR,9,5,Sunderland,Alim Ozturk,19896.00,6.70,90.00,0.00,0.00,,0.00,0.00,0.00,19.00,0.00,61.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,Portsmouth 17/08/2019,DF
2,Matchweek 4,Tue,20/08/2019,19:45 (04:45),Away,W,2,1,Rochdale,"5,258",Grant Leadbitter,4_2_3_1,John Busby,167966,JR,6,5,Sunderland,Alim Ozturk,19896.00,6.60,90.00,1.00,0.00,,0.00,0.00,0.00,20.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,Rochdale 20/08/2019,DF
3,Matchweek 5,Sat,24/08/2019,15:00 (00:00),Home,W,3,1,AFC Wimbledon,"29,725",Grant Leadbitter,4_2_3_1,Anthony Backhouse,167979,JR,4,5,Sunderland,Alim Ozturk,19896.00,6.90,90.00,0.00,0.00,,0.00,0.00,0.00,50.00,0.00,89.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AFC Wimbledon 24/08/2019,DF
4,Matchweek 6,Sat,31/08/2019,15:00 (00:00),Away,L,0,3,P'borough Utd,"10,005",Grant Leadbitter,4_2_3_1,Craig Hicks,167991,JR,6,5,Sunderland,Alim Ozturk,19896.00,6.50,90.00,0.00,0.00,,0.00,0.00,0.00,29.00,0.00,72.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,P'borough Utd 31/08/2019,DF
5,Matchweek 8,Sat,14/09/2019,15:00 (00:00),Away,W,3,1,Acc'ton Stanley,"4,164",Grant Leadbitter,4_2_3_1,Lee Swabey,168007,JR,6,5,Sunderland,Alim Ozturk,19896.00,6.20,90.00,0.00,0.00,,0.00,0.00,0.00,20.00,0.00,55.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,Acc'ton Stanley 14/09/2019,DF
6,Matchweek 9,Tue,17/09/2019,19:45 (04:45),Home,D,1,1,Rotherham Utd,"29,078",Aiden McGeady,4_2_3_1,Ben Toner,168026,JR,5,5,Sunderland,Alim Ozturk,19896.00,7.00,90.00,0.00,0.00,,0.00,1.00,0.00,11.00,1.00,44.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,Rotherham Utd 17/09/2019,DF
7,Matchweek 10,Sat,21/09/2019,15:00 (00:00),Away,D,1,1,Bolton,"12,026",Grant Leadbitter,4_2_3_1,Oliver Yates,168032,JR,5,,Sunderland,Alim Ozturk,19896.00,,,,,,,,,,,,,,,,,,,,,,,,,Bolton 21/09/2019,DF
8,Matchweek 11,Sat,28/09/2019,15:00 (00:00),Home,W,2,1,MK Dons,"29,954",Jordan Willis,4_2_3_1,Paul Marsden,168053,JR,5,,Sunderland,Alim Ozturk,19896.00,,,,,,,,,,,,,,,,,,,,,,,,,MK Dons 28/09/2019,DF
9,Matchweek 12,Sat,05/10/2019,15:00 (00:00),Away,L,0,2,Lincoln City,"10,264",Jordan Willis,4_2_3_1,Brett Huxtable,168061,JR,6,,Sunderland,Alim Ozturk,19896.00,,,,,,,,,,,,,,,,,,,,,,,,,Lincoln City 05/10/2019,DF
